Dan Seagrave,Graphic Realism,VHS,deathcore,RGB,Ancient Art,Symbolism,Shadows and Contrast Lighting,Top view
Travis Smith,Grim Impressionism,Noise,doomcore,Pastel colors,Comics,Occultism,Spotlight,Low Angle
Arik Roper,Fantastic Realism,Ink Drops,symbolic,Triangular scheme,Concept Art,Magick,Diffuse lighting,High angle
David V. D'Andrea,Technical Drawing,Scuffs,technoshamanism,Complementary colors,Devil's Style,Rituals,Dimming and Semi-darkening,Close-up
Tony Roberts,Photorealism,Glitch,Horrorcore,16 bit color scheme,Dune,Witchcraft,Silhouette lighting,Back view
Andreas Marschall,Mystical minimalism,Color filters,Hellcore,Analog,Pixel Art,Shamanism,Glare and transmitted light,Side view
Gyula Havancsák,Digital Illustration with Effects,Graphic Noise,Gothic culture,Separation Scheme,Technological style,Esotericism,Contrasting colors,First person view
Eliran Kantor,Oil Painting,Highlights,Horror fiction,Tetradic scheme,Oil Painting,Dark,Poorly lit backgrounds,Third-person view
Android Jones,Digital Realism,Blur,Dark art,Mixing scheme,,macabre,Pulsating lighting,Panoramic view
Simon Haiduk,Photorealistic Digital Painting,Speckle Noise,Supernatural,Acromatic scheme,,,Dim lighting and backlighting,Forced perspective
Mugwort,Painterly Digital Illustration,,Occult horror,,,,,
Alex Pardee,Digital Portraiture,,Gothic literature,,,,,
Mark Riddick,Realistic Digital Character Design,,Haunted places,,,,,
Derek Riggs,Digital Watercolor Realism,,Cybergoth,,,,,
Vincent Locke,Digital Oil Painting Realism,,subculture,,,,,
Paolo Girardi,Mixed Media Digital Illustration,,Underground,,,,,
Daniele Valeriani,Colored Pencil Realism in Digital Art,,,,,,,
Wes Benscoter,Textured Digital Illustration,,,,,,,
Joe Petagno,,,,,,,,
Ed Repka,,,,,,,,
Larry Carroll,,,,,,,,
Don Brutigam,,,,,,,,
Necrolord,,,,,,,,
Michael Whelan,,,,,,,,
Doug Johnson,,,,,,,,
Justin Bartlett,,,,,,,,
Sam Turner,,,,,,,,